
withoutGAT
0.48514851485148514
0.36
0.28
0.41
0.52
0.57
0.43
0.3
0.36
0.33
withoutGAT
0.33
0.39
0.33
0.29
0.3
0.35
0.37
0.37
0.4
0.35
withoutGAT
0.34
0.44
0.27
0.42
0.31
0.26
0.45
0.22
0.28
0.44
withoutGAT
0.41
0.27
0.34
0.26
0.43
0.42
0.38
0.33
0.39
0.22
withoutGAT
0.36
0.42
0.48
0.33
0.47
0.44
0.35
0.67
0.29
0.56
withoutGAT
0.55
0.65
0.46
0.24
0.29
0.52
0.32
0.36
0.35
0.42
withoutGAT
0.48
0.49
0.49
0.36
0.39
0.31
0.37
0.3
0.33
0.36
withoutGAT
0.54
0.45
0.32
0.26
0.45
0.57
0.29
0.27
0.29
0.26
withoutGAT
0.31
0.37
0.26
0.27
0.43
0.47
0.52
0.34
0.4
0.38
withoutGAT
0.34
0.41
0.33
0.29
0.25
0.36363636363636365
0.38
0.43
0.66
0.64
